,game_location,game_name,game_season,game_year
0,China,Beijing-2022,Winter,2022
1,Japan,Tokyo-2020,Summer,2020
2,Republic of Korea,PyeongChang-2018,Winter,2018
3,Brazil,Rio-2016,Summer,2016
4,Russian Federation,Sochi-2014,Winter,2014
5,Great Britain,London-2012,Summer,2012
6,Canada,Vancouver-2010,Winter,2010
7,China,Beijing-2008,Summer,2008
8,Italy,Turin-2006,Winter,2006
9,Greece,Athens-2004,Summer,2004
10,United States,Salt-Lake-City-2002,Winter,2002
11,Australia,Sydney-2000,Summer,2000
12,Japan,Nagano-1998,Winter,1998
13,United States,Atlanta-1996,Summer,1996
14,Norway,Lillehammer-1994,Winter,1994
15,Spain,Barcelona-1992,Summer,1992
16,France,Albertville-1992,Winter,1992
17,Republic of Korea,Seoul-1988,Summer,1988
18,Canada,Calgary-1988,Winter,1988
19,United States,Los-Angeles-1984,Summer,1984
20,Yugoslavia,Sarajevo-1984,Winter,1984
21,USSR,Moscow-1980,Summer,1980
22,United States,Lake-Placid-1980,Winter,1980
23,Canada,Montreal-1976,Summer,1976
24,Austria,Innsbruck-1976,Winter,1976
25,Federal Republic of Germany,Munich-1972,Summer,1972
26,Japan,Sapporo-1972,Winter,1972
27,Mexico,Mexico-City-1968,Summer,1968
28,France,Grenoble-1968,Winter,1968
29,Japan,Tokyo-1964,Summer,1964
30,Austria,Innsbruck-1964,Winter,1964
31,Italy,Rome-1960,Summer,1960
32,United States,Squaw-Valley-1960,Winter,1960
33,"Australia, Sweden",Melbourne-1956,Summer,1956
34,Italy,Cortina-d'Ampezzo-1956,Winter,1956
35,Finland,Helsinki-1952,Summer,1952
36,Norway,Oslo-1952,Winter,1952
37,Great Britain,London-1948,Summer,1948
38,Switzerland,St.-Moritz-1948,Winter,1948
39,Germany,Berlin-1936,Summer,1936
40,Germany,Garmisch-Partenkirchen-1936,Winter,1936
41,United States,Los-Angeles-1932,Summer,1932
42,United States,Lake-Placid-1932,Winter,1932
43,Netherlands,Amsterdam-1928,Summer,1928
44,Switzerland,St.-Moritz-1928,Winter,1928
45,France,Paris-1924,Summer,1924
46,France,Chamonix-1924,Winter,1924
47,Belgium,Antwerp-1920,Summer,1920
48,Sweden,Stockholm-1912,Summer,1912
49,Great Britain,London-1908,Summer,1908
50,United States,St.-Louis-1904,Summer,1904
51,France,Paris-1900,Summer,1900
52,Greece,Athens-1896,Summer,1896
