,discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name
0,Curling,Beijing-2022,Mixed doubles,Mixed,Gold,Game Team,Stefania Constantini,Italy
1,Curling,Beijing-2022,Mixed doubles,Mixed,Gold,Game Team,Amos Mosaner,Italy
2,Curling,Beijing-2022,Mixed doubles,Mixed,Silver,Game Team,Kristin Skaslien,Norway
3,Curling,Beijing-2022,Mixed doubles,Mixed,Silver,Game Team,Magnus Nedregotten,Norway
4,Curling,Beijing-2022,Mixed doubles,Mixed,Bronze,Game Team,Almida De Val,Sweden
5,Curling,Beijing-2022,Mixed doubles,Mixed,Bronze,Game Team,Oskar Eriksson,Sweden
12,Freestyle Skiing,Beijing-2022,Men's moguls,Men,Silver,Athlete,Mikael Kingsbury,Canada
13,Freestyle Skiing,Beijing-2022,Men's moguls,Men,Gold,Athlete,Walter Wallberg,Sweden
14,Freestyle Skiing,Beijing-2022,Men's moguls,Men,Bronze,Athlete,Ikuma Horishima,Japan
15,Freestyle Skiing,Beijing-2022,Men's freeski halfpipe,Men,Gold,Athlete,Nico Porteous,New Zealand
16,Freestyle Skiing,Beijing-2022,Men's freeski halfpipe,Men,Silver,Athlete,David Wise,United States of America
17,Freestyle Skiing,Beijing-2022,Men's freeski halfpipe,Men,Bronze,Athlete,Alex Ferreira,United States of America
18,Freestyle Skiing,Beijing-2022,Men's freeski big air,Men,Bronze,Athlete,Henrik Harlaut,Sweden
19,Freestyle Skiing,Beijing-2022,Men's freeski big air,Men,Gold,Athlete,Birk Ruud,Norway
20,Freestyle Skiing,Beijing-2022,Men's freeski big air,Men,Silver,Athlete,Colby Stevenson,United States of America
21,Freestyle Skiing,Beijing-2022,Men's ski cross,Men,Bronze,Athlete,Sergey Ridzik,ROC
22,Freestyle Skiing,Beijing-2022,Men's ski cross,Men,Silver,Athlete,Alex Fiva,Switzerland
23,Freestyle Skiing,Beijing-2022,Men's ski cross,Men,Gold,Athlete,Ryan Regez,Switzerland
24,Freestyle Skiing,Beijing-2022,Women's freeski big air,Women,Bronze,Athlete,Mathilde Gremaud,Switzerland
25,Freestyle Skiing,Beijing-2022,Women's freeski big air,Women,Gold,Athlete,Ailing Eileen Gu,People's Republic of China
26,Freestyle Skiing,Beijing-2022,Women's freeski big air,Women,Silver,Athlete,Tess Ledeux,France
27,Freestyle Skiing,Beijing-2022,Women's moguls,Women,Silver,Athlete,Jaelin Kauf,United States of America
28,Freestyle Skiing,Beijing-2022,Women's moguls,Women,Gold,Athlete,Jakara Anthony,Australia
29,Freestyle Skiing,Beijing-2022,Women's moguls,Women,Bronze,Athlete,Anastasiia Smirnova,ROC
33,Freestyle Skiing,Beijing-2022,Women's ski cross,Women,Silver,Athlete,Marielle Thompson,Canada
34,Freestyle Skiing,Beijing-2022,Women's ski cross,Women,Gold,Athlete,Sandra Naeslund,Sweden
35,Freestyle Skiing,Beijing-2022,Women's ski cross,Women,Bronze,Athlete,Daniela Maier,Germany
36,Freestyle Skiing,Beijing-2022,Men's aerials,Men,Bronze,Athlete,Ilia Burov,ROC
37,Freestyle Skiing,Beijing-2022,Men's aerials,Men,Gold,Athlete,Guangpu Qi,People's Republic of China
38,Freestyle Skiing,Beijing-2022,Men's aerials,Men,Silver,Athlete,Oleksandr Abramenko,Ukraine
39,Freestyle Skiing,Beijing-2022,Women's aerials,Women,Silver,Athlete,Hanna Huskova,Belarus
40,Freestyle Skiing,Beijing-2022,Women's aerials,Women,Gold,Athlete,Mengtao Xu,People's Republic of China
41,Freestyle Skiing,Beijing-2022,Women's aerials,Women,Bronze,Athlete,Megan Nick,United States of America
42,Freestyle Skiing,Beijing-2022,Women's freeski halfpipe,Women,Silver,Athlete,Cassie Sharpe,Canada
43,Freestyle Skiing,Beijing-2022,Women's freeski halfpipe,Women,Gold,Athlete,Ailing Eileen Gu,People's Republic of China
44,Freestyle Skiing,Beijing-2022,Women's freeski halfpipe,Women,Bronze,Athlete,Rachel Karker,Canada
45,Freestyle Skiing,Beijing-2022,Women's freeski slopestyle,Women,Silver,Athlete,Ailing Eileen Gu,People's Republic of China
46,Freestyle Skiing,Beijing-2022,Women's freeski slopestyle,Women,Gold,Athlete,Mathilde Gremaud,Switzerland
47,Freestyle Skiing,Beijing-2022,Women's freeski slopestyle,Women,Bronze,Athlete,Kelly Sildaru,Estonia
48,Freestyle Skiing,Beijing-2022,Men's freeski slopestyle,Men,Silver,Athlete,Nicholas Goepper,United States of America
49,Freestyle Skiing,Beijing-2022,Men's freeski slopestyle,Men,Bronze,Athlete,Jesper Tjader,Sweden
50,Freestyle Skiing,Beijing-2022,Men's freeski slopestyle,Men,Gold,Athlete,Alexander Hall,United States of America
51,Short Track Speed Skating,Beijing-2022,Women's 500m,Women,Silver,Athlete,Suzanne Schulting,Netherlands
52,Short Track Speed Skating,Beijing-2022,Women's 500m,Women,Bronze,Athlete,Kim Boutin,Canada
53,Short Track Speed Skating,Beijing-2022,Women's 500m,Women,Gold,Athlete,Arianna Fontana,Italy
54,Short Track Speed Skating,Beijing-2022,Men's 500m,Men,Bronze,Athlete,Steven Dubois,Canada
55,Short Track Speed Skating,Beijing-2022,Men's 500m,Men,Gold,Athlete,Shaoang Liu,Hungary
56,Short Track Speed Skating,Beijing-2022,Men's 500m,Men,Silver,Athlete,Konstantin Ivliev,ROC
63,Short Track Speed Skating,Beijing-2022,Men's 1500m,Men,Bronze,Athlete,Semen Elistratov,ROC
64,Short Track Speed Skating,Beijing-2022,Men's 1500m,Men,Gold,Athlete,Daeheon Hwang,Republic of Korea
